Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;AlvAlc_Camp;60:32:B1:6D:FF:22;;11;No;WPA2,AES-CCM;No;270.0;0;1;0;0;0;0;0;;;Fri Sep 15 11:57:41 2023;Fri Sep 15 11:57:41 2023;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Moradia Do Estudante Fundos;D0:21:F9:54:02:E8;;36;No;WPA2,AES-CCM;No;720.0;0;21;0;5;0;0;5;;;Fri Sep 15 11:57:41 2023;Fri Sep 15 11:58:35 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Moradia Do Estudante Sala;D2:21:F9:14:02:E8;;36;No;WPA2,AES-CCM;No;720.0;0;19;0;3;0;0;3;;;Fri Sep 15 11:57:41 2023;Fri Sep 15 11:58:35 2023;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;;D2:21:F9:24:02:E8;;36;No;WPA2,AES-CCM;No;720.0;0;19;0;0;0;0;0;;;Fri Sep 15 11:57:41 2023;Fri Sep 15 11:58:35 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Disneylândia 5G;44:DF:65:66:E5:BA;;40;No;WPA3,AES-CCM,SAE;No;648.0;0;19;0;1;0;0;1;;;Fri Sep 15 11:57:42 2023;Fri Sep 15 11:58:36 2023;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;;46:DF:65:46:E5:B9;;40;No;WPA2,AES-CCM;No;648.0;0;19;0;0;0;0;0;;;Fri Sep 15 11:57:42 2023;Fri Sep 15 11:58:36 2023;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;Rep Shrekudas-5G;84:0B:BB:52:0B:17;;44;No;WPA2,AES-CCM;No;1733.0;0;21;0;0;0;0;0;;;Fri Sep 15 11:57:43 2023;Fri Sep 15 11:58:37 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Rep Shrekudas;86:0B:BB:52:0B:17;;44;No;WPA2,AES-CCM;No;1733.0;0;19;0;4;0;0;4;;;Fri Sep 15 11:57:43 2023;Fri Sep 15 11:58:37 2023;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;Moradia Do Estudante-5G;94:EA:EA:16:1A:A2;;124;No;WPA2,AES-CCM;No;1733.0;0;20;0;5;0;0;5;;;Fri Sep 15 11:57:47 2023;Fri Sep 15 11:58:44 2023;-54;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Router-5G;10:72:23:B8:EB:F4;;104;No;WPA2,AES-CCM;No;1733.0;0;20;0;0;0;0;0;;;Fri Sep 15 11:57:47 2023;Fri Sep 15 11:58:41 2023;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;Router;06:72:23:B8:EB:F4;;104;No;WPA2,AES-CCM;No;1733.0;0;20;0;0;0;0;0;;;Fri Sep 15 11:57:47 2023;Fri Sep 15 11:58:41 2023;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;Moradia Do Estudante;86:EA:EA:16:1A:A2;;124;No;WPA2,AES-CCM;No;1733.0;0;20;0;5;0;0;5;;;Fri Sep 15 11:57:50 2023;Fri Sep 15 11:58:44 2023;-55;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;Router Superior;30:E1:F1:2C:36:0B;;149;No;WPA2,AES-CCM;No;866.0;0;15;0;0;0;0;0;;;Fri Sep 15 11:57:54 2023;Fri Sep 15 11:58:30 2023;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
