Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Rep Shrekudas;84:0B:BB:52:0B:10;;1;No;WPA2,AES-CCM;No;130.0;0;188;0;2;0;0;2;;;Tue Sep 12 01:06:22 2023;Tue Sep 12 01:13:13 2023;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Moradia Do Estudante Sala;D2:21:F9:14:02:E7;;6;No;WPA2,AES-CCM;No;130.0;0;286;0;0;0;0;0;;;Tue Sep 12 01:06:23 2023;Tue Sep 12 01:13:18 2023;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;;D2:21:F9:24:02:E7;;6;No;WPA2,AES-CCM;No;130.0;0;285;0;0;0;0;0;;;Tue Sep 12 01:06:23 2023;Tue Sep 12 01:13:18 2023;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Moradia Do Estudante Fundos;D0:21:F9:54:02:E7;;6;No;WPA2,AES-CCM;No;130.0;0;286;0;149;0;0;149;;;Tue Sep 12 01:06:23 2023;Tue Sep 12 01:13:18 2023;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Pensionato Corredor;28:3B:82:40:93:90;;11;No;WPA2,AES-CCM,TKIP;No;130.0;0;56;0;1;0;0;1;;;Tue Sep 12 01:06:29 2023;Tue Sep 12 01:13:18 2023;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Moradia Do Estudante;94:EA:EA:16:1A:95;;11;No;WPA2,AES-CCM;No;130.0;0;108;0;659;0;0;659;;;Tue Sep 12 01:06:29 2023;Tue Sep 12 01:13:18 2023;-46;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;Disneylândia 2G;44:DF:65:66:E5:B9;;12;No;WPA3,AES-CCM,SAE;No;648.0;0;97;0;2;0;0;2;;;Tue Sep 12 01:06:31 2023;Tue Sep 12 01:13:19 2023;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;;46:DF:65:26:E5:B9;;12;No;OPN,None;No;648.0;0;105;0;0;0;0;0;;;Tue Sep 12 01:06:31 2023;Tue Sep 12 01:13:19 2023;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;;92:2A:A8:BB:E6:6A;;12;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Tue Sep 12 01:07:52 2023;Tue Sep 12 01:08:47 2023;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Router;10:72:23:B8:EB:E7;;1;No;WPA2,AES-CCM;No;130.0;0;0;0;0;0;0;0;;;Tue Sep 12 01:09:24 2023;Tue Sep 12 01:10:45 2023;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;;84:0B:BB:52:0B:17;;8;No;None;No;-1.0;0;0;0;0;0;0;0;;;Tue Sep 12 01:10:21 2023;Tue Sep 12 01:10:21 2023;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;Moradia Do Estudante Fundos;80:2A:A8:BB:E6:6A;;12;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Tue Sep 12 01:10:27 2023;Tue Sep 12 01:11:30 2023;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
